iso	lang	token	category	major	output
USD	en	$	money	dollar	one hundred and twenty three dollars forty five cents
EUR	en	€	money	euro	one hundred and twenty three euros forty five cents
JPY	en	¥	money	yen	one hundred and twenty three yen. forty five
GBP	en	£	money	pound	one hundred and twenty three pounds forty five pence
CAD	en	cad	text	canadian dollar	cad one two three dot four five
CHF	en	chf	text	swiss franc	chf one two three dot four five
HKD	en	hk$	money	hong kong dollar	one hundred and twenty three hong kong dollars. forty five
KRW	en	₩	money	won	one hundred and twenty three won. forty five
INR	en	rs	text	rupee	rs one two three dot four five
NZD	en	nzd	text	new zealand dollar	nzd one two three dot four five
SEK	en	sek	text	swedish kronor	sek one two three dot four five
NOK	en	nok	text	norwegian kroner	nok one two three dot four five
BRL	en	r	text	real	r one two three dot four five
THB	en	฿	money	Thai Baht	one hundred and twenty three Thai Bahts. forty five
DKK	en	dkk	text	danish kroner	dkk one two three dot four five
CZK	en	czk	text	czech koruna	czk one two three dot four five
PHP	en	php	text	philippine peso	php one two three dot four five
AED	en	aed	text	arab emirates dirham	aed one two three dot four five
SAR	en	sar	text	saudi riyal	sar one two three dot four five
RSD	en	rsd	text	serbian dinar	rsd one two three dot four five
CRC	en	crc	text	costa rican colon	crc one two three dot four five
PKR	en	pkr	text	pakistani rupee	pkr one two three dot four five
NPR	en	npr	text	nepalese rupee	npr one two three dot four five
TZS	en	tzs	text	tanzanian shilling	tzs one two three dot four five
USD	de	$	symbol	dollar	dollar zeichen eins zwei drei punkt vier fünf
EUR	de	€	symbol	euro	ein euro zwei drei punkt vier fünf
JPY	de	¥	symbol	yen	ein yen zwei drei punkt vier fünf
GBP	de	£	symbol	pfund	ein pfund zwei drei punkt vier fünf
CHF	de	chf	text	schweizer franken	c h f eins zwei drei punkt vier fünf
HKD	de	hkd	text	hong kong dollar	h k d eins zwei drei punkt vier fünf
KRW	de	₩	symbol	won	ein won zwei drei punkt vier fünf
INR	de	rs	text	rupie	r s eins zwei drei punkt vier fünf
NZD	de	nzd	text	neuseeland dollar	n z d eins zwei drei punkt vier fünf
